#SENTENCE ID	# VERB – LEMMA	# PART – LEMMA
a-tlg0008.tlg001-12.48-s16267-w0	συμπεριάγω	στρατηγέω
a-tlg0007.tlg004-15.4-s33654-w0	συμπορεύομαι	λανθάνω
a-tlg0003.tlg001-1.24.6-s22884-w0	συναλλάσσω	φεύγω
a-tlg0543.tlg001-1.13-s12369-w0	συνάπτω	πράσσω
a-tlg0540.tlg001-1-50-s21030-w0	συνδειπνέω	ἀπαντάω
a-tlg0059.tlg001-urn:cts:greekLit:tlg0059.tlg001:1-s7078-w0	σύνειμι1	σύνοιδα1
a-tlg0543.tlg001-10.19.9-s28807-w0	συνεπιλαμβάνομαι	προσαγγέλλω
a-tlg0543.tlg001-10.19.9-s28807-w0	συνεπιλαμβάνομαι	ἀναθαρσέω
a-tlg0016.tlg001-1.91.6-s6119-w0	συνοικέω	εἰμί
a-tlg0008.tlg001-13.84-s15284-w0	συντάσσω	φωράω
a-tlg0543.tlg001-9.12.8-s26188-w0	σφάλλω	ὀλιγωρέω
a-tlg0007.tlg015--s27214-w0	σφάλλω	εἰμί
a-tlg0003.tlg001-1.30.2-s22923-w0	τέμνω	πλέω
a-tlg0060.tlg001-11.9.1-s9408-w0	τυγχάνω	μένω
a-tlg0060.tlg001-11.32.5-s9680-w0	τυγχάνω	ἁλίσκομαι
a-tlg0060.tlg001-11.53.2-s9873-w0	τυγχάνω	τελευτάω
a-tlg0060.tlg001-11.53.5-s9881-w0	τυγχάνω	διαπρεσβεύομαι
a-tlg0060.tlg001-11.66.4-s10017-w0	τυγχάνω	γίγνομαι
a-tlg0003.tlg001-1.92-s23319-w0	τυγχάνω	εἰμί
a-tlg0540.tlg014-1-47-s26014-w0	τυγχάνω	ἀκοσμέω
a-tlg0008.tlg001-12.64-s16481-w0	φαίνω	ἐπισκοπέω
a-tlg0003.tlg001-1.102.2-s23377-w0	φαίνω	καθίστημι
a-tlg0016.tlg001-1.37-s5718-w0	φαίνω	φοιτάω
a-tlg0543.tlg001-9.26.3-s26322-w0	φαίνω	λέγω3
a-tlg0008.tlg001-13.29-s14428-w0	ἀφαιρέω	λυπέω
a-tlg0540.tlg014-1-47-s26050-w0	ἀφαιρέω	δίδωμι
a-tlg0003.tlg001-1.8.1-s22783-w0	φανάω	γιγνώσκω
a-tlg0003.tlg001-1.100.2-s23368-w0	ἀφεστήξω	διαφέρω
a-tlg0543.tlg001-10.30.3-s28885-w0	ἀφεστήξω	ἐξαδυνατέω
a-tlg0008.tlg001-12.76-s16631-w0	φημί	παίζω
a-tlg0008.tlg001-13.42-s14605-w0	φημί	γελάω
a-tlg0008.tlg001-13.43-s14623-w0	φημί	μειδιάω
a-tlg0008.tlg001-13.44-s14647-w0	φημί	ἀγανακτέω
a-tlg0008.tlg001-13.44-s14647-w0	φημί	ἀγανακτέω
a-tlg0008.tlg001-13.47-s14726-w0	φημί	ἀπαντάω
a-tlg0008.tlg001-13.54-s14841-w0	φημί	λέγω3
a-tlg0016.tlg001-1.128.1-s6401-w0	φημί	διαλύω
a-tlg0016.tlg001-1.128.1-s6401-w0	φημί	ἀπειλέω
a-tlg0543.tlg001-10.34.5-s28941-w0	φημί	ἔρχομαι
a-tlg0007.tlg015--s27115-w0	ἐφίζω	οἶδα
a-tlg0016.tlg001-1.35-s5692-w0	ἀφικνέομαι	εἰμί
a-tlg0060.tlg001-11.73.1-s10089-w0	ἀφίστημι	συμφρονέω
a-tlg0007.tlg004-16.4-s33678-w0	ἐφίστημι	διαφέρω
a-tlg0003.tlg001-1.137.2-s23597-w0	φράζω	δείδω
a-tlg0016.tlg001-1.109.1-s6232-w0	φράζω	παρέρχομαι
a-tlg0016.tlg001-1.119.2-s6314-w0	φράζω	εἰμί
a-tlg0016.tlg001-1.119.2-s6314-w0	φράζω	συγκυρέω
a-tlg0060.tlg001-11.87.4-s10235-w0	φροντίζω	διαφέρω
a-tlg0543.tlg001-9.13.1-s26191-w0	ἀφροντιστέω	ἡγέομαι
a-tlg0008.tlg001-12.63-s16456-w0	χαίρω	ἐνυβρίζω
a-tlg0008.tlg001-13.78-s15175-w0	χαρίζω	ἥδομαι
a-tlg0008.tlg001-12.14-s15897-w0	χράομαι	μανθάνω
a-tlg0016.tlg001-1.53-s5798-w0	χράομαι	λέγω3
a-tlg0016.tlg001-1.137.1-s6459-w0	χράομαι	λογίζομαι
a-tlg0540.tlg012-78-s21544-w0	χράομαι	καθίστημι
a-tlg0007.tlg015--s27123-w0	χράομαι	ἐπιθυμέω
a-tlg0060.tlg001-11.70.3-s10064-w0	χραύω	προκόπτω
a-tlg0016.tlg001-1.63-s5863-w0	χραύω	ἐνθεάζω
a-tlg0008.tlg001-13.43-s14624-w0	χράω1	εἰμί
a-tlg0016.tlg001-1.202-s6906-w0	χράω1	νομίζω
a-tlg0007.tlg015--s27227-w0	χράω1	κελεύω
a-tlg0060.tlg001-11.41.2-s9774-w0	χράω2	μετεωρίζω
a-tlg0008.tlg001-12.29-s16066-w0	χράω2	ἐπιδίδωμι
a-tlg0003.tlg001-1.116.1-s23461-w0	χράω2	πλέω
a-tlg0008.tlg001-13.92-s15416-w0	χράω2	πλέω
a-tlg0016.tlg001-1.150-s6531-w0	χράω2	βοηθέω
a-tlg0543.tlg001-10.21.5-s28819-w0	χράω2	εἰμί
a-tlg0543.tlg001-9.33.10-s26403-w0	χράω2	παραγίγνομαι
a-tlg0007.tlg015--s27207-w0	χράω2	παραπίπτω
a-tlg0007.tlg015--s27418-w0	χράω2	ἀπόλλυμι
a-tlg0008.tlg001-12.30-s16070-w0	ἔχω	πυκάζω
a-tlg0003.tlg001-1.140.1-s23625-w0	ἔχω	οἶδα
a-tlg0540.tlg012-35-s21454-w0	ἔχω	δυστυχέω
